REF_DATE,GEO,Field of study,VALUE
2019/2020,Canada,"Total, field of study",6468.0
2020/2021,Canada,"Total, field of study",6580.0
2021/2022,Canada,"Total, field of study",6660.0
2022/2023,Canada,"Total, field of study",6872.0
2023/2024,Canada,"Total, field of study",7076.0
2019/2020,Canada,Education,4648.0
2020/2021,Canada,Education,4801.0
2021/2022,Canada,Education,5013.0
2022/2023,Canada,Education,5191.0
2023/2024,Canada,Education,5358.0
2019/2020,Canada,"Visual and performing arts, and communications technologies",5789.0
2020/2021,Canada,"Visual and performing arts, and communications technologies",5843.0
2021/2022,Canada,"Visual and performing arts, and communications technologies",6009.0
2022/2023,Canada,"Visual and performing arts, and communications technologies",6152.0
2023/2024,Canada,"Visual and performing arts, and communications technologies",6312.0
2019/2020,Canada,Humanities,5486.0
2020/2021,Canada,Humanities,5635.0
2021/2022,Canada,Humanities,5737.0
2022/2023,Canada,Humanities,5914.0
2023/2024,Canada,Humanities,6080.0
2019/2020,Canada,"Social and behavioural sciences, and legal studies",5555.0
2020/2021,Canada,"Social and behavioural sciences, and legal studies",5639.0
2021/2022,Canada,"Social and behavioural sciences, and legal studies",5740.0
2022/2023,Canada,"Social and behavioural sciences, and legal studies",5885.0
2023/2024,Canada,"Social and behavioural sciences, and legal studies",6040.0
2019/2020,Canada,Law,12527.0
2020/2021,Canada,Law,12727.0
2021/2022,Canada,Law,12852.0
2022/2023,Canada,Law,13200.0
2023/2024,Canada,Law,13621.0
2019/2020,Canada,"Business, management and public administration",6795.0
2020/2021,Canada,"Business, management and public administration",6864.0
2021/2022,Canada,"Business, management and public administration",7045.0
2022/2023,Canada,"Business, management and public administration",7297.0
2023/2024,Canada,"Business, management and public administration",7571.0
2019/2020,Canada,Physical and life sciences and technologies,6068.0
2020/2021,Canada,Physical and life sciences and technologies,6149.0
2021/2022,Canada,Physical and life sciences and technologies,5860.0
2022/2023,Canada,Physical and life sciences and technologies,6005.0
2023/2024,Canada,Physical and life sciences and technologies,6167.0
2019/2020,Canada,"Mathematics, computer and information sciences",6814.0
2020/2021,Canada,"Mathematics, computer and information sciences",6861.0
2021/2022,Canada,"Mathematics, computer and information sciences",6876.0
2022/2023,Canada,"Mathematics, computer and information sciences",7074.0
2023/2024,Canada,"Mathematics, computer and information sciences",7278.0
2019/2020,Canada,Engineering,7949.0
2020/2021,Canada,Engineering,8067.0
2021/2022,Canada,Engineering,8257.0
2022/2023,Canada,Engineering,8618.0
2023/2024,Canada,Engineering,8879.0
2019/2020,Canada,Architecture,6470.0
2020/2021,Canada,Architecture,6462.0
2021/2022,Canada,Architecture,6599.0
2022/2023,Canada,Architecture,6743.0
2023/2024,Canada,Architecture,6927.0
2019/2020,Canada,"Agriculture, natural resources and conservation",5614.0
2020/2021,Canada,"Agriculture, natural resources and conservation",5693.0
2021/2022,Canada,"Agriculture, natural resources and conservation",5886.0
2022/2023,Canada,"Agriculture, natural resources and conservation",6033.0
2023/2024,Canada,"Agriculture, natural resources and conservation",6212.0
2019/2020,Canada,Dentistry,22242.0
2020/2021,Canada,Dentistry,22408.0
2021/2022,Canada,Dentistry,22920.0
2022/2023,Canada,Dentistry,24041.0
2023/2024,Canada,Dentistry,24838.0
2019/2020,Canada,Medicine,14201.0
2020/2021,Canada,Medicine,14321.0
2021/2022,Canada,Medicine,14627.0
2022/2023,Canada,Medicine,15190.0
2023/2024,Canada,Medicine,15558.0
2019/2020,Canada,Nursing,5583.0
2020/2021,Canada,Nursing,5685.0
2021/2022,Canada,Nursing,5826.0
2022/2023,Canada,Nursing,6018.0
2023/2024,Canada,Nursing,6182.0
2019/2020,Canada,Pharmacy,10931.0
2020/2021,Canada,Pharmacy,11154.0
2021/2022,Canada,Pharmacy,11351.0
2022/2023,Canada,Pharmacy,12207.0
2023/2024,Canada,Pharmacy,12566.0
2019/2020,Canada,Veterinary medicine,7852.0
2020/2021,Canada,Veterinary medicine,14162.0
2021/2022,Canada,Veterinary medicine,14284.0
2022/2023,Canada,Veterinary medicine,14977.0
2023/2024,Canada,Veterinary medicine,15532.0
2019/2020,Canada,Optometry,11203.0
2020/2021,Canada,Optometry,10687.0
2021/2022,Canada,Optometry,10357.0
2022/2023,Canada,Optometry,10340.0
2023/2024,Canada,Optometry,10598.0
2019/2020,Canada,"Other health, parks, recreation and fitness",5867.0
2020/2021,Canada,"Other health, parks, recreation and fitness",5993.0
2021/2022,Canada,"Other health, parks, recreation and fitness",6097.0
2022/2023,Canada,"Other health, parks, recreation and fitness",6221.0
2023/2024,Canada,"Other health, parks, recreation and fitness",6381.0
2019/2020,Canada,"Personal, protective and transportation services",5686.0
2020/2021,Canada,"Personal, protective and transportation services",5777.0
2021/2022,Canada,"Personal, protective and transportation services",5836.0
2022/2023,Canada,"Personal, protective and transportation services",6007.0
2023/2024,Canada,"Personal, protective and transportation services",6153.0
2019/2020,Newfoundland and Labrador,"Total, field of study",2975.0
2020/2021,Newfoundland and Labrador,"Total, field of study",3078.0
2021/2022,Newfoundland and Labrador,"Total, field of study",3025.0
2022/2023,Newfoundland and Labrador,"Total, field of study",3361.0
2023/2024,Newfoundland and Labrador,"Total, field of study",3481.0
2019/2020,Newfoundland and Labrador,Education,2659.0
2020/2021,Newfoundland and Labrador,Education,2691.0
2021/2022,Newfoundland and Labrador,Education,2708.0
2022/2023,Newfoundland and Labrador,Education,3143.0
2023/2024,Newfoundland and Labrador,Education,3273.0
2019/2020,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",2718.0
2020/2021,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",2708.0
2021/2022,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",2706.0
2022/2023,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",3281.0
2023/2024,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",3416.0
2019/2020,Newfoundland and Labrador,Humanities,2618.0
2020/2021,Newfoundland and Labrador,Humanities,2646.0
2021/2022,Newfoundland and Labrador,Humanities,2611.0
2022/2023,Newfoundland and Labrador,Humanities,2894.0
2023/2024,Newfoundland and Labrador,Humanities,3014.0
2019/2020,Newfoundland and Labrador,"Social and behavioural sciences, and legal studies",2699.0
2020/2021,Newfoundland and Labrador,"Social and behavioural sciences, and legal studies",2658.0
2021/2022,Newfoundland and Labrador,"Social and behavioural sciences, and legal studies",2642.0
2022/2023,Newfoundland and Labrador,"Social and behavioural sciences, and legal studies",3021.0
2023/2024,Newfoundland and Labrador,"Social and behavioural sciences, and legal studies",3145.0
2019/2020,Newfoundland and Labrador,"Business, management and public administration",2715.0
2020/2021,Newfoundland and Labrador,"Business, management and public administration",2695.0
2021/2022,Newfoundland and Labrador,"Business, management and public administration",2664.0
2022/2023,Newfoundland and Labrador,"Business, management and public administration",2969.0
2023/2024,Newfoundland and Labrador,"Business, management and public administration",3092.0
2019/2020,Newfoundland and Labrador,Physical and life sciences and technologies,2687.0
2020/2021,Newfoundland and Labrador,Physical and life sciences and technologies,2666.0
2021/2022,Newfoundland and Labrador,Physical and life sciences and technologies,2652.0
2022/2023,Newfoundland and Labrador,Physical and life sciences and technologies,3058.0
2023/2024,Newfoundland and Labrador,Physical and life sciences and technologies,3184.0
2019/2020,Newfoundland and Labrador,"Mathematics, computer and information sciences",2688.0
2020/2021,Newfoundland and Labrador,"Mathematics, computer and information sciences",2667.0
2021/2022,Newfoundland and Labrador,"Mathematics, computer and information sciences",2644.0
2022/2023,Newfoundland and Labrador,"Mathematics, computer and information sciences",3010.0
2023/2024,Newfoundland and Labrador,"Mathematics, computer and information sciences",3134.0
2019/2020,Newfoundland and Labrador,Engineering,2765.0
2020/2021,Newfoundland and Labrador,Engineering,2756.0
2021/2022,Newfoundland and Labrador,Engineering,2726.0
2022/2023,Newfoundland and Labrador,Engineering,3145.0
2023/2024,Newfoundland and Labrador,Engineering,3274.0
2019/2020,Newfoundland and Labrador,"Agriculture, natural resources and conservation",2745.0
2020/2021,Newfoundland and Labrador,"Agriculture, natural resources and conservation",2766.0
2021/2022,Newfoundland and Labrador,"Agriculture, natural resources and conservation",2800.0
2022/2023,Newfoundland and Labrador,"Agriculture, natural resources and conservation",3725.0
2023/2024,Newfoundland and Labrador,"Agriculture, natural resources and conservation",3876.0
2019/2020,Newfoundland and Labrador,Medicine,12250.0
2020/2021,Newfoundland and Labrador,Medicine,14250.0
2021/2022,Newfoundland and Labrador,Medicine,14250.0
2022/2023,Newfoundland and Labrador,Medicine,14250.0
2023/2024,Newfoundland and Labrador,Medicine,14250.0
2019/2020,Newfoundland and Labrador,Nursing,2626.0
2020/2021,Newfoundland and Labrador,Nursing,2616.0
2021/2022,Newfoundland and Labrador,Nursing,2607.0
2022/2023,Newfoundland and Labrador,Nursing,2866.0
2023/2024,Newfoundland and Labrador,Nursing,2985.0
2019/2020,Newfoundland and Labrador,Pharmacy,2870.0
2020/2021,Newfoundland and Labrador,Pharmacy,2839.0
2021/2022,Newfoundland and Labrador,Pharmacy,2824.0
2022/2023,Newfoundland and Labrador,Pharmacy,2650.0
2023/2024,Newfoundland and Labrador,Pharmacy,2760.0
2019/2020,Newfoundland and Labrador,"Other health, parks, recreation and fitness",2682.0
2020/2021,Newfoundland and Labrador,"Other health, parks, recreation and fitness",2629.0
2021/2022,Newfoundland and Labrador,"Other health, parks, recreation and fitness",2618.0
2022/2023,Newfoundland and Labrador,"Other health, parks, recreation and fitness",2909.0
2023/2024,Newfoundland and Labrador,"Other health, parks, recreation and fitness",3029.0
2019/2020,Newfoundland and Labrador,"Personal, protective and transportation services",2603.0
2020/2021,Newfoundland and Labrador,"Personal, protective and transportation services",2589.0
2021/2022,Newfoundland and Labrador,"Personal, protective and transportation services",2596.0
2022/2023,Newfoundland and Labrador,"Personal, protective and transportation services",2855.0
2023/2024,Newfoundland and Labrador,"Personal, protective and transportation services",2973.0
2019/2020,Prince Edward Island,"Total, field of study",6748.0
2020/2021,Prince Edward Island,"Total, field of study",6881.0
2021/2022,Prince Edward Island,"Total, field of study",6951.0
2022/2023,Prince Edward Island,"Total, field of study",7085.0
2023/2024,Prince Edward Island,"Total, field of study",7381.0
2019/2020,Prince Edward Island,Education,8360.0
2020/2021,Prince Edward Island,Education,8524.0
2021/2022,Prince Edward Island,Education,8604.0
2022/2023,Prince Edward Island,Education,8764.0
2023/2024,Prince Edward Island,Education,9109.0
2019/2020,Prince Edward Island,"Visual and performing arts, and communications technologies",6270.0
2020/2021,Prince Edward Island,"Visual and performing arts, and communications technologies",6390.0
2021/2022,Prince Edward Island,"Visual and performing arts, and communications technologies",6450.0
2022/2023,Prince Edward Island,"Visual and performing arts, and communications technologies",6570.0
2023/2024,Prince Edward Island,"Visual and performing arts, and communications technologies",6828.0
2019/2020,Prince Edward Island,Humanities,6270.0
2020/2021,Prince Edward Island,Humanities,6390.0
2021/2022,Prince Edward Island,Humanities,6450.0
2022/2023,Prince Edward Island,Humanities,6570.0
2023/2024,Prince Edward Island,Humanities,6828.0
2019/2020,Prince Edward Island,"Social and behavioural sciences, and legal studies",6270.0
2020/2021,Prince Edward Island,"Social and behavioural sciences, and legal studies",6390.0
2021/2022,Prince Edward Island,"Social and behavioural sciences, and legal studies",6450.0
2022/2023,Prince Edward Island,"Social and behavioural sciences, and legal studies",6570.0
2023/2024,Prince Edward Island,"Social and behavioural sciences, and legal studies",6828.0
2019/2020,Prince Edward Island,"Business, management and public administration",6270.0
2020/2021,Prince Edward Island,"Business, management and public administration",6390.0
2021/2022,Prince Edward Island,"Business, management and public administration",6450.0
2022/2023,Prince Edward Island,"Business, management and public administration",6570.0
2023/2024,Prince Edward Island,"Business, management and public administration",6828.0
2019/2020,Prince Edward Island,Physical and life sciences and technologies,6270.0
2020/2021,Prince Edward Island,Physical and life sciences and technologies,6390.0
2021/2022,Prince Edward Island,Physical and life sciences and technologies,6450.0
2022/2023,Prince Edward Island,Physical and life sciences and technologies,6570.0
2023/2024,Prince Edward Island,Physical and life sciences and technologies,6828.0
2019/2020,Prince Edward Island,"Mathematics, computer and information sciences",6270.0
2020/2021,Prince Edward Island,"Mathematics, computer and information sciences",6390.0
2021/2022,Prince Edward Island,"Mathematics, computer and information sciences",6450.0
2022/2023,Prince Edward Island,"Mathematics, computer and information sciences",6570.0
2023/2024,Prince Edward Island,"Mathematics, computer and information sciences",6828.0
2019/2020,Prince Edward Island,Engineering,6270.0
2020/2021,Prince Edward Island,Engineering,6390.0
2021/2022,Prince Edward Island,Engineering,6450.0
2022/2023,Prince Edward Island,Engineering,6570.0
2023/2024,Prince Edward Island,Engineering,6828.0
2019/2020,Prince Edward Island,"Agriculture, natural resources and conservation",6270.0
2020/2021,Prince Edward Island,"Agriculture, natural resources and conservation",6390.0
2021/2022,Prince Edward Island,"Agriculture, natural resources and conservation",6450.0
2022/2023,Prince Edward Island,"Agriculture, natural resources and conservation",6570.0
2023/2024,Prince Edward Island,"Agriculture, natural resources and conservation",6828.0
2019/2020,Prince Edward Island,Nursing,6270.0
2020/2021,Prince Edward Island,Nursing,6390.0
2021/2022,Prince Edward Island,Nursing,6450.0
2022/2023,Prince Edward Island,Nursing,6570.0
2023/2024,Prince Edward Island,Nursing,6828.0
2019/2020,Prince Edward Island,Veterinary medicine,13260.0
2020/2021,Prince Edward Island,Veterinary medicine,13525.0
2021/2022,Prince Edward Island,Veterinary medicine,13796.0
2022/2023,Prince Edward Island,Veterinary medicine,14072.0
2023/2024,Prince Edward Island,Veterinary medicine,14916.0
2019/2020,Prince Edward Island,"Other health, parks, recreation and fitness",6270.0
2020/2021,Prince Edward Island,"Other health, parks, recreation and fitness",6390.0
2021/2022,Prince Edward Island,"Other health, parks, recreation and fitness",6450.0
2022/2023,Prince Edward Island,"Other health, parks, recreation and fitness",6570.0
2023/2024,Prince Edward Island,"Other health, parks, recreation and fitness",6828.0
2019/2020,Nova Scotia,"Total, field of study",8478.0
2020/2021,Nova Scotia,"Total, field of study",8746.0
2021/2022,Nova Scotia,"Total, field of study",9035.0
2022/2023,Nova Scotia,"Total, field of study",9270.0
2023/2024,Nova Scotia,"Total, field of study",9575.0
2019/2020,Nova Scotia,Education,7739.0
2020/2021,Nova Scotia,Education,7972.0
2021/2022,Nova Scotia,Education,8220.0
2022/2023,Nova Scotia,Education,8492.0
2023/2024,Nova Scotia,Education,8780.0
2019/2020,Nova Scotia,"Visual and performing arts, and communications technologies",8120.0
2020/2021,Nova Scotia,"Visual and performing arts, and communications technologies",8217.0
2021/2022,Nova Scotia,"Visual and performing arts, and communications technologies",8379.0
2022/2023,Nova Scotia,"Visual and performing arts, and communications technologies",8592.0
2023/2024,Nova Scotia,"Visual and performing arts, and communications technologies",8870.0
2019/2020,Nova Scotia,Humanities,7298.0
2020/2021,Nova Scotia,Humanities,7522.0
2021/2022,Nova Scotia,Humanities,7762.0
2022/2023,Nova Scotia,Humanities,7997.0
2023/2024,Nova Scotia,Humanities,8264.0
2019/2020,Nova Scotia,"Social and behavioural sciences, and legal studies",7449.0
2020/2021,Nova Scotia,"Social and behavioural sciences, and legal studies",7688.0
2021/2022,Nova Scotia,"Social and behavioural sciences, and legal studies",7896.0
2022/2023,Nova Scotia,"Social and behavioural sciences, and legal studies",8130.0
2023/2024,Nova Scotia,"Social and behavioural sciences, and legal studies",8400.0
2019/2020,Nova Scotia,Law,15489.0
2020/2021,Nova Scotia,Law,15945.0
2021/2022,Nova Scotia,Law,16432.0
2022/2023,Nova Scotia,Law,17022.0
2023/2024,Nova Scotia,Law,17546.0
2019/2020,Nova Scotia,"Business, management and public administration",8051.0
2020/2021,Nova Scotia,"Business, management and public administration",8309.0
2021/2022,Nova Scotia,"Business, management and public administration",8584.0
2022/2023,Nova Scotia,"Business, management and public administration",8891.0
2023/2024,Nova Scotia,"Business, management and public administration",9193.0
2019/2020,Nova Scotia,Physical and life sciences and technologies,8043.0
2020/2021,Nova Scotia,Physical and life sciences and technologies,8263.0
2021/2022,Nova Scotia,Physical and life sciences and technologies,8538.0
2022/2023,Nova Scotia,Physical and life sciences and technologies,8810.0
2023/2024,Nova Scotia,Physical and life sciences and technologies,9098.0
2019/2020,Nova Scotia,"Mathematics, computer and information sciences",7914.0
2020/2021,Nova Scotia,"Mathematics, computer and information sciences",8192.0
2021/2022,Nova Scotia,"Mathematics, computer and information sciences",8476.0
2022/2023,Nova Scotia,"Mathematics, computer and information sciences",8757.0
2023/2024,Nova Scotia,"Mathematics, computer and information sciences",9049.0
2019/2020,Nova Scotia,Engineering,10395.0
2020/2021,Nova Scotia,Engineering,10814.0
2021/2022,Nova Scotia,Engineering,11225.0
2022/2023,Nova Scotia,Engineering,9724.0
2023/2024,Nova Scotia,Engineering,10043.0
2019/2020,Nova Scotia,Architecture,7745.0
2020/2021,Nova Scotia,Architecture,7903.0
2021/2022,Nova Scotia,Architecture,8162.0
2022/2023,Nova Scotia,Architecture,8469.0
2023/2024,Nova Scotia,Architecture,8739.0
2019/2020,Nova Scotia,"Agriculture, natural resources and conservation",7854.0
2020/2021,Nova Scotia,"Agriculture, natural resources and conservation",8059.0
2021/2022,Nova Scotia,"Agriculture, natural resources and conservation",8347.0
2022/2023,Nova Scotia,"Agriculture, natural resources and conservation",8592.0
2023/2024,Nova Scotia,"Agriculture, natural resources and conservation",8869.0
2019/2020,Nova Scotia,Dentistry,25541.0
2020/2021,Nova Scotia,Dentistry,26285.0
2021/2022,Nova Scotia,Dentistry,27091.0
2022/2023,Nova Scotia,Dentistry,27947.0
2023/2024,Nova Scotia,Dentistry,28807.0
2019/2020,Nova Scotia,Medicine,20690.0
2020/2021,Nova Scotia,Medicine,21333.0
2021/2022,Nova Scotia,Medicine,21975.0
2022/2023,Nova Scotia,Medicine,22632.0
2023/2024,Nova Scotia,Medicine,23334.0
2019/2020,Nova Scotia,Nursing,8339.0
2020/2021,Nova Scotia,Nursing,8631.0
2021/2022,Nova Scotia,Nursing,8927.0
2022/2023,Nova Scotia,Nursing,9238.0
2023/2024,Nova Scotia,Nursing,9551.0
2019/2020,Nova Scotia,Pharmacy,11789.0
2020/2021,Nova Scotia,Pharmacy,12757.0
2021/2022,Nova Scotia,Pharmacy,13813.0
2022/2023,Nova Scotia,Pharmacy,14129.0
2023/2024,Nova Scotia,Pharmacy,14570.0
2019/2020,Nova Scotia,"Other health, parks, recreation and fitness",8244.0
2020/2021,Nova Scotia,"Other health, parks, recreation and fitness",8494.0
2021/2022,Nova Scotia,"Other health, parks, recreation and fitness",8824.0
2022/2023,Nova Scotia,"Other health, parks, recreation and fitness",9100.0
2023/2024,Nova Scotia,"Other health, parks, recreation and fitness",9399.0
2019/2020,Nova Scotia,"Personal, protective and transportation services",7270.0
2020/2021,Nova Scotia,"Personal, protective and transportation services",8280.0
2021/2022,Nova Scotia,"Personal, protective and transportation services",8101.0
2022/2023,Nova Scotia,"Personal, protective and transportation services",8051.0
2023/2024,Nova Scotia,"Personal, protective and transportation services",8312.0
2019/2020,New Brunswick,"Total, field of study",7595.0
2020/2021,New Brunswick,"Total, field of study",7740.0
2021/2022,New Brunswick,"Total, field of study",7995.0
2022/2023,New Brunswick,"Total, field of study",8308.0
2023/2024,New Brunswick,"Total, field of study",8706.0
2019/2020,New Brunswick,Education,7648.0
2020/2021,New Brunswick,Education,7500.0
2021/2022,New Brunswick,Education,7463.0
2022/2023,New Brunswick,Education,7623.0
2023/2024,New Brunswick,Education,8208.0
2019/2020,New Brunswick,"Visual and performing arts, and communications technologies",7919.0
2020/2021,New Brunswick,"Visual and performing arts, and communications technologies",8060.0
2021/2022,New Brunswick,"Visual and performing arts, and communications technologies",8430.0
2022/2023,New Brunswick,"Visual and performing arts, and communications technologies",8667.0
2023/2024,New Brunswick,"Visual and performing arts, and communications technologies",9099.0
2019/2020,New Brunswick,Humanities,7266.0
2020/2021,New Brunswick,Humanities,7390.0
2021/2022,New Brunswick,Humanities,7622.0
2022/2023,New Brunswick,Humanities,8022.0
2023/2024,New Brunswick,Humanities,8294.0
2019/2020,New Brunswick,"Social and behavioural sciences, and legal studies",7335.0
2020/2021,New Brunswick,"Social and behavioural sciences, and legal studies",7591.0
2021/2022,New Brunswick,"Social and behavioural sciences, and legal studies",7850.0
2022/2023,New Brunswick,"Social and behavioural sciences, and legal studies",8157.0
2023/2024,New Brunswick,"Social and behavioural sciences, and legal studies",8537.0
2019/2020,New Brunswick,Law,9854.0
2020/2021,New Brunswick,Law,10291.0
2021/2022,New Brunswick,Law,10975.0
2022/2023,New Brunswick,Law,11317.0
2023/2024,New Brunswick,Law,12025.0
2019/2020,New Brunswick,"Business, management and public administration",7823.0
2020/2021,New Brunswick,"Business, management and public administration",7991.0
2021/2022,New Brunswick,"Business, management and public administration",8125.0
2022/2023,New Brunswick,"Business, management and public administration",8355.0
2023/2024,New Brunswick,"Business, management and public administration",8797.0
2019/2020,New Brunswick,Physical and life sciences and technologies,7610.0
2020/2021,New Brunswick,Physical and life sciences and technologies,7768.0
2021/2022,New Brunswick,Physical and life sciences and technologies,7986.0
2022/2023,New Brunswick,Physical and life sciences and technologies,8258.0
2023/2024,New Brunswick,Physical and life sciences and technologies,8588.0
2019/2020,New Brunswick,"Mathematics, computer and information sciences",7525.0
2020/2021,New Brunswick,"Mathematics, computer and information sciences",7338.0
2021/2022,New Brunswick,"Mathematics, computer and information sciences",7675.0
2022/2023,New Brunswick,"Mathematics, computer and information sciences",7958.0
2023/2024,New Brunswick,"Mathematics, computer and information sciences",8260.0
2019/2020,New Brunswick,Engineering,8348.0
2020/2021,New Brunswick,Engineering,8575.0
2021/2022,New Brunswick,Engineering,9102.0
2022/2023,New Brunswick,Engineering,9333.0
2023/2024,New Brunswick,Engineering,9745.0
2019/2020,New Brunswick,"Agriculture, natural resources and conservation",7233.0
2020/2021,New Brunswick,"Agriculture, natural resources and conservation",7288.0
2021/2022,New Brunswick,"Agriculture, natural resources and conservation",7531.0
2022/2023,New Brunswick,"Agriculture, natural resources and conservation",7924.0
2023/2024,New Brunswick,"Agriculture, natural resources and conservation",8273.0
2019/2020,New Brunswick,Nursing,7299.0
2020/2021,New Brunswick,Nursing,7536.0
2021/2022,New Brunswick,Nursing,7795.0
2022/2023,New Brunswick,Nursing,8033.0
2023/2024,New Brunswick,Nursing,8541.0
2019/2020,New Brunswick,"Other health, parks, recreation and fitness",6875.0
2020/2021,New Brunswick,"Other health, parks, recreation and fitness",6886.0
2021/2022,New Brunswick,"Other health, parks, recreation and fitness",7150.0
2022/2023,New Brunswick,"Other health, parks, recreation and fitness",7645.0
2023/2024,New Brunswick,"Other health, parks, recreation and fitness",8053.0
2022/2023,New Brunswick,"Personal, protective and transportation services",9725.0
2023/2024,New Brunswick,"Personal, protective and transportation services",10015.0
2019/2020,Quebec,"Total, field of study",3060.0
2020/2021,Quebec,"Total, field of study",3152.0
2021/2022,Quebec,"Total, field of study",3272.0
2022/2023,Quebec,"Total, field of study",3360.0
2023/2024,Quebec,"Total, field of study",3461.0
2019/2020,Quebec,Education,2642.0
2020/2021,Quebec,Education,2731.0
2021/2022,Quebec,Education,2855.0
2022/2023,Quebec,Education,2944.0
2023/2024,Quebec,Education,3032.0
2019/2020,Quebec,"Visual and performing arts, and communications technologies",3049.0
2020/2021,Quebec,"Visual and performing arts, and communications technologies",3124.0
2021/2022,Quebec,"Visual and performing arts, and communications technologies",3269.0
2022/2023,Quebec,"Visual and performing arts, and communications technologies",3352.0
2023/2024,Quebec,"Visual and performing arts, and communications technologies",3452.0
2019/2020,Quebec,Humanities,4112.0
2020/2021,Quebec,Humanities,4219.0
2021/2022,Quebec,Humanities,4367.0
2022/2023,Quebec,Humanities,4604.0
2023/2024,Quebec,Humanities,4742.0
2019/2020,Quebec,"Social and behavioural sciences, and legal studies",3129.0
2020/2021,Quebec,"Social and behavioural sciences, and legal studies",3248.0
2021/2022,Quebec,"Social and behavioural sciences, and legal studies",3366.0
2022/2023,Quebec,"Social and behavioural sciences, and legal studies",3432.0
2023/2024,Quebec,"Social and behavioural sciences, and legal studies",3535.0
2019/2020,Quebec,Law,2926.0
2020/2021,Quebec,Law,3027.0
2021/2022,Quebec,Law,3171.0
2022/2023,Quebec,Law,3231.0
2023/2024,Quebec,Law,3328.0
2019/2020,Quebec,"Business, management and public administration",3039.0
2020/2021,Quebec,"Business, management and public administration",3127.0
2021/2022,Quebec,"Business, management and public administration",3247.0
2022/2023,Quebec,"Business, management and public administration",3355.0
2023/2024,Quebec,"Business, management and public administration",3455.0
2019/2020,Quebec,Physical and life sciences and technologies,3379.0
2020/2021,Quebec,Physical and life sciences and technologies,3429.0
2021/2022,Quebec,Physical and life sciences and technologies,3558.0
2022/2023,Quebec,Physical and life sciences and technologies,3581.0
2023/2024,Quebec,Physical and life sciences and technologies,3689.0
2019/2020,Quebec,"Mathematics, computer and information sciences",3187.0
2020/2021,Quebec,"Mathematics, computer and information sciences",3288.0
2021/2022,Quebec,"Mathematics, computer and information sciences",3431.0
2022/2023,Quebec,"Mathematics, computer and information sciences",3539.0
2023/2024,Quebec,"Mathematics, computer and information sciences",3645.0
2019/2020,Quebec,Engineering,2965.0
2020/2021,Quebec,Engineering,3049.0
2021/2022,Quebec,Engineering,3186.0
2022/2023,Quebec,Engineering,3305.0
2023/2024,Quebec,Engineering,3404.0
2019/2020,Quebec,Architecture,2780.0
2020/2021,Quebec,Architecture,2861.0
2021/2022,Quebec,Architecture,2945.0
2022/2023,Quebec,Architecture,3030.0
2023/2024,Quebec,Architecture,3121.0
2019/2020,Quebec,"Agriculture, natural resources and conservation",2981.0
2020/2021,Quebec,"Agriculture, natural resources and conservation",3035.0
2021/2022,Quebec,"Agriculture, natural resources and conservation",3142.0
2022/2023,Quebec,"Agriculture, natural resources and conservation",3236.0
2023/2024,Quebec,"Agriculture, natural resources and conservation",3334.0
2019/2020,Quebec,Dentistry,3946.0
2020/2021,Quebec,Dentistry,3932.0
2021/2022,Quebec,Dentistry,4021.0
2022/2023,Quebec,Dentistry,4051.0
2023/2024,Quebec,Dentistry,4173.0
2019/2020,Quebec,Medicine,3428.0
